TimestampEpoch;BusChannel;ID;IDE;DLC;DataLength;Dir;EDL;BRS;DataBytes
1569601199.908850;1;07E8;0;8;8;0;0;0;03410B1CFFFFFFFF
1569601199.923700;1;07DF;0;8;8;1;0;0;02010C5555555555
1569601199.929250;1;07E8;0;8;8;0;0;0;04410C2500FFFFFF
1569601199.943700;1;07DF;0;8;8;1;0;0;02010D5555555555
1569601199.948900;1;07E8;0;8;8;0;0;0;03410D2EFFFFFFFF
1569601199.963700;1;07DF;0;8;8;1;0;0;0201105555555555
1569601199.983700;1;07DF;0;8;8;1;0;0;0201115555555555
1569601199.988900;1;07E8;0;8;8;0;0;0;0341112BFFFFFFFF
1569601200.003700;1;07DF;0;8;8;1;0;0;02015E5555555555
1569601200.023750;1;07DF;0;8;8;1;0;0;02011F5555555555
1569601200.029350;1;07E8;0;8;8;0;0;0;04411F00A7FFFFFF
1569601200.063700;1;07DF;0;8;8;1;0;0;0201055555555555
1569601200.069200;1;07E8;0;8;8;0;0;0;03410559FFFFFFFF
1569601200.083750;1;07DF;0;8;8;1;0;0;02010A5555555555
1569601200.103750;1;07DF;0;8;8;1;0;0;02010B5555555555
1569601200.109100;1;07E8;0;8;8;0;0;0;03410B1CFFFFFFFF
1569601200.123700;1;07DF;0;8;8;1;0;0;02010C5555555555
1569601200.129200;1;07E8;0;8;8;0;0;0;04410C24BCFFFFFF
1569601200.143750;1;07DF;0;8;8;1;0;0;02010D5555555555
1569601200.149300;1;07E8;0;8;8;0;0;0;03410D2EFFFFFFFF
1569601200.163750;1;07DF;0;8;8;1;0;0;0201105555555555
1569601200.183750;1;07DF;0;8;8;1;0;0;0201115555555555
1569601200.189100;1;07E8;0;8;8;0;0;0;0341112BFFFFFFFF
1569601200.203750;1;07DF;0;8;8;1;0;0;02015E5555555555
1569601200.223750;1;07DF;0;8;8;1;0;0;02011F5555555555
1569601200.229100;1;07E8;0;8;8;0;0;0;04411F00A7FFFFFF
